stazione_id;data;inquinante;valore
"4";2024-11-07;PM25;34
"6";2024-11-07;C6H6;3.3
"6";2024-11-07;CO_8h;1.2
"6";2024-11-07;NO2;59
"6";2024-11-07;PM10;39
"6";2024-11-07;PM25;28
"7";2024-11-07;NO2;65
"7";2024-11-07;O3;14
"7";2024-11-07;PM10;39
"2";2024-11-06;C6H6;2.1
"2";2024-11-06;NO2;50
"2";2024-11-06;O3;19
"2";2024-11-06;PM10;37
"2";2024-11-06;PM25;23
"2";2024-11-06;SO2;5
"3";2024-11-06;NO2;52
"4";2024-11-06;C6H6;1
"4";2024-11-06;CO_8h;1.2
"4";2024-11-06;NO2;47
"4";2024-11-06;PM10;43
"4";2024-11-06;PM25;30
"6";2024-11-06;C6H6;2.9
"6";2024-11-06;CO_8h;0.8
"6";2024-11-06;NO2;55
"6";2024-11-06;PM10;41
"6";2024-11-06;PM25;27
"7";2024-11-06;NO2;55
"7";2024-11-06;O3;17
"7";2024-11-06;PM10;36
"2";2024-11-05;C6H6;2.2
"2";2024-11-05;NO2;46
"2";2024-11-05;O3;15
"2";2024-11-05;PM10;43
"2";2024-11-05;PM25;25
"2";2024-11-05;SO2;6
"3";2024-11-05;NO2;46
"4";2024-11-05;C6H6;1
"4";2024-11-05;CO_8h;1.5
"4";2024-11-05;NO2;45
"4";2024-11-05;PM10;49
"4";2024-11-05;PM25;32
"6";2024-11-05;C6H6;2.9
"6";2024-11-05;CO_8h;0.7
"6";2024-11-05;NO2;51
"6";2024-11-05;PM10;42
"6";2024-11-05;PM25;30
"7";2024-11-05;NO2;51
"7";2024-11-05;O3;14
"7";2024-11-05;PM10;41
"2";2024-11-04;C6H6;1.5
"2";2024-11-04;NO2;47
"2";2024-11-04;O3;51
"2";2024-11-04;PM10;30
"2";2024-11-04;PM25;19
"2";2024-11-04;SO2;5
"3";2024-11-04;NO2;68
"4";2024-11-04;C6H6;1.2
"4";2024-11-04;CO_8h;2
"4";2024-11-04;NO2;58
"4";2024-11-04;PM10;41
