DATE,NO2,TRANSITS,TEMPERATURE C,WIND km/h,RAIN
2021-01-20,117.0,115093.0,2.0,6,True
2021-01-21,70.0,119055.0,3.0,4,True
2021-01-22,79.0,119422.0,4.0,5,True
2021-01-25,76.0,123025.0,4.0,8,False
2021-01-26,96.0,130631.0,6.0,14,False
2021-01-27,88.0,132848.0,2.0,4,False
2021-01-28,100.0,134860.0,4.0,6,False
2021-01-29,83.0,131372.0,3.0,6,False
2021-02-03,68.0,134128.0,6.0,4,True
2021-02-04,71.0,137936.0,8.0,6,True
2021-02-05,57.0,132663.0,8.0,4,True
2021-02-08,43.0,133813.0,8.0,7,True
2021-02-09,79.0,134868.0,9.0,4,True
2021-02-10,72.0,137323.0,8.0,9,True
2021-02-11,68.0,142462.0,7.0,9,False
2021-02-12,69.0,138546.0,3.0,17,True
2021-02-15,64.0,123264.0,2.0,4,False
2021-02-16,91.0,132702.0,5.0,6,True
2021-02-17,98.0,132986.0,8.0,7,True
2021-02-18,93.0,128710.0,8.0,6,True
2021-02-19,64.0,119344.0,9.0,5,False
2021-02-22,45.0,129393.0,10.0,5,False
2021-02-23,81.0,139333.0,10.0,5,False
2021-02-24,105.0,131428.0,10.0,3,False
2021-02-25,112.0,132673.0,11.0,3,False
2021-02-26,130.0,130652.0,11.0,3,False
2021-03-01,52.0,117254.0,8.0,4,False
2021-03-02,95.0,122430.0,8.0,4,False
2021-03-03,101.0,125383.0,9.0,3,False
2021-03-04,114.0,128982.0,9.0,6,False
2021-03-05,88.0,114267.0,12.0,7,False
2021-03-08,64.0,110830.0,7.0,6,False
2021-03-09,67.0,113216.0,8.0,6,False
2021-03-10,81.0,114372.0,8.0,5,False
2021-03-11,81.0,115417.0,8.0,4,True
2021-03-12,87.0,116573.0,11.0,5,False
2021-03-15,59.0,96756.0,10.0,12,False
2021-03-16,70.0,100786.0,12.0,22,False
2021-03-17,52.0,103109.0,10.0,11,False
2021-03-18,82.0,104902.0,7.0,11,False
2021-03-19,51.0,104425.0,6.0,11,False
2021-03-22,35.0,100674.0,8.0,5,False
2021-03-23,85.0,105626.0,9.0,10,False
2021-03-24,61.0,107843.0,10.0,4,False
2021-03-25,83.0,110883.0,11.0,5,False
2021-03-26,73.0,122525.0,13.0,7,False
2021-03-31,100.0,112911.0,16.0,4,False
2021-04-06,25.0,102044.0,10.0,19,False
2021-04-07,62.0,113771.0,7.0,14,False
2021-04-12,28.0,121331.0,10.0,6,True
2021-04-13,61.0,130566.0,10.0,9,False
2021-04-14,70.0,133329.0,10.0,8,False
2021-04-15,66.0,132920.0,8.0,14,True
2021-04-16,52.0,133261.0,9.0,7,False
2021-04-19,33.0,123698.0,12.0,5,False
2021-04-20,62.0,131769.0,14.0,7,True
2021-04-21,75.0,134707.0,14.0,8,True
2021-04-22,55.0,135624.0,14.0,5,False
2021-04-23,65.0,134172.0,15.0,7,False
2021-04-26,36.0,125141.0,14.0,9,True
2021-04-27,52.0,136046.0,13.0,8,True
2021-04-28,45.0,142960.0,15.0,6,True
2021-04-29,50.0,136474.0,14.0,8,True
2021-04-30,55.0,141205.0,15.0,6,True
2021-05-03,26.0,129282.0,14.0,10,False
2021-05-04,40.0,140489.0,15.0,6,False
2021-05-05,70.0,145147.0,15.0,6,False
2021-05-06,51.0,145870.0,16.0,11,False
2021-05-07,56.0,143838.0,18.0,9,False
2021-05-10,33.0,130883.0,19.0,9,True
2021-05-11,57.0,134184.0,15.0,13,True
2021-05-12,56.0,148119.0,17.0,7,True
2021-05-13,39.0,147499.0,17.0,10,True
2021-05-17,27.0,127585.0,18.0,9,True
2021-05-18,56.0,140065.0,16.0,6,True
2021-05-19,63.0,142733.0,18.0,8,False
2021-05-20,55.0,143928.0,18.0,7,False
2021-05-21,69.0,145306.0,17.0,8,True
2021-05-24,21.0,129906.0,15.0,9,True
2021-05-25,39.0,145003.0,17.0,8,False
2021-05-27,38.0,149549.0,19.0,7,False
2021-05-28,46.0,145655.0,20.0,9,False
2021-05-31,18.0,122534.0,20.0,11,False
2021-06-01,43.0,148463.0,21.0,9,False
2021-06-03,23.0,137999.0,23.0,6,False
2021-06-09,52.0,147085.0,22.0,6,False
2021-06-10,58.0,148744.0,23.0,8,False
2021-06-11,54.0,138620.0,24.0,9,True
2021-06-14,32.0,134037.0,26.0,11,False
2021-06-15,45.0,145336.0,25.0,11,False
2021-06-16,42.0,147960.0,25.0,8,False
2021-06-17,52.0,149885.0,27.0,6,False
2021-06-18,51.0,137729.0,27.0,7,False
2021-06-21,35.0,133922.0,26.0,8,False
2021-06-22,47.0,142890.0,26.0,8,True
2021-06-23,35.0,145766.0,24.0,7,True
2021-06-24,30.0,145097.0,23.0,6,False
2021-06-25,56.0,132919.0,24.0,9,False
2021-06-28,50.0,130027.0,28.0,8,True
2021-06-29,75.0,140612.0,26.0,10,False
2021-06-30,47.0,144682.0,25.0,9,False
2021-07-01,33.0,138201.0,25.0,8,False
2021-07-02,38.0,122146.0,25.0,9,False
2021-07-05,24.0,124553.0,23.0,6,False
2021-07-06,34.0,132416.0,26.0,8,False
2021-07-07,62.0,139591.0,26.0,7,True
2021-07-08,36.0,134663.0,22.0,10,True
2021-07-09,52.0,121528.0,23.0,8,False
2021-07-12,35.0,135779.0,26.0,6,False
2021-07-13,48.0,128132.0,24.0,15,True
2021-07-14,31.0,134289.0,20.0,8,True
2021-07-15,46.0,135315.0,22.0,6,False
2021-07-16,47.0,123363.0,22.0,7,True
2021-07-19,50.0,121070.0,28.0,8,False
2021-07-20,61.0,131035.0,27.0,7,False
2021-07-21,52.0,137159.0,27.0,8,False
2021-07-23,35.0,121622.0,26.0,9,False
2021-07-26,20.0,116530.0,22.0,8,True
2021-07-27,49.0,128452.0,24.0,9,True
2021-07-28,42.0,133064.0,24.0,8,False
2021-07-29,40.0,130283.0,25.0,4,False
2021-07-30,45.0,118371.0,26.0,5,False
2021-08-02,26.0,93014.0,22.0,7,True
2021-08-03,34.0,98829.0,22.0,6,False
2021-08-04,38.0,93517.0,22.0,8,True
2021-08-05,45.0,90448.0,23.0,9,True
2021-08-06,25.0,81382.0,24.0,6,False
2021-08-09,23.0,54952.0,25.0,5,False
2021-08-10,24.0,54886.0,25.0,5,False
2021-08-11,46.0,52095.0,26.0,4,False
2021-08-12,40.0,50629.0,27.0,5,False
2021-08-23,25.0,61912.0,24.0,13,False
2021-08-24,34.0,69497.0,24.0,7,False
2021-08-25,46.0,71889.0,22.0,7,False
2021-08-26,36.0,73670.0,23.0,7,False
2021-08-27,41.0,76232.0,21.0,14,False
2021-08-30,40.0,101476.0,21.0,7,False
2021-09-01,41.0,124646.0,22.0,7,False
2021-09-02,60.0,129492.0,23.0,10,False
2021-09-03,60.0,131808.0,22.0,8,False
2021-09-06,39.0,145986.0,24.0,8,False
2021-09-07,66.0,159825.0,23.0,7,False
2021-09-08,70.0,162700.0,23.0,9,False
2021-09-09,65.0,164222.0,23.0,6,False
2021-09-10,64.0,157551.0,23.0,4,False
2021-09-13,83.0,143672.0,22.0,4,False
2021-09-14,79.0,155515.0,23.0,5,False
2021-09-15,63.0,158980.0,23.0,5,False
2021-09-16,63.0,158519.0,22.0,7,True
2021-09-17,65.0,162571.0,22.0,5,False
2021-09-20,26.0,148638.0,17.0,7,True
2021-09-21,61.0,160970.0,18.0,6,False
2021-09-22,55.0,166842.0,19.0,7,False
2021-09-23,58.0,169411.0,19.0,5,False
2021-09-24,90.0,168035.0,19.0,4,False
2021-09-27,52.0,146267.0,19.0,4,False
2021-09-28,60.0,154113.0,19.0,4,False
2021-09-29,86.0,154120.0,21.0,5,True
2021-09-30,61.0,156623.0,19.0,8,False
2021-10-01,54.0,155051.0,18.0,6,False
2021-10-04,32.0,135113.0,19.0,13,True
2021-10-05,61.0,147180.0,18.0,11,True
2021-10-06,42.0,155669.0,15.0,8,True
2021-10-07,60.0,160509.0,13.0,4,False
2021-10-08,61.0,158016.0,16.0,5,False
2021-10-11,46.0,150670.0,12.0,3,False
2021-10-12,87.0,153613.0,12.0,5,False
2021-10-13,70.0,155014.0,13.0,7,False
2021-10-14,70.0,159815.0,11.0,6,False
2021-10-15,72.0,156594.0,11.0,4,False
2021-10-18,99.0,142368.0,11.0,3,True
2021-10-19,102.0,151747.0,13.0,3,False
2021-10-20,104.0,153457.0,13.0,3,True
2021-10-21,84.0,155422.0,14.0,4,True
2021-10-22,78.0,147203.0,13.0,3,False
2021-10-25,67.0,143294.0,11.0,4,False
2021-10-26,76.0,152155.0,9.0,4,False
2021-10-27,91.0,154630.0,11.0,4,False
2021-10-28,94.0,155829.0,10.0,3,False
2021-10-29,102.0,150400.0,11.0,4,False
2021-11-02,49.0,139213.0,9.0,7,False
2021-11-03,58.0,145206.0,11.0,8,True
2021-11-04,62.0,155899.0,10.0,7,True
2021-11-05,78.0,157695.0,8.0,4,False
2021-11-08,67.0,139065.0,8.0,6,False
2021-11-09,63.0,151011.0,9.0,4,False
2021-11-10,67.0,154979.0,12.0,5,False
2021-11-11,63.0,158951.0,12.0,5,True
2021-11-12,62.0,157440.0,10.0,4,False
2021-11-15,57.0,135311.0,11.0,6,True
2021-11-16,69.0,150435.0,10.0,5,True
2021-11-17,73.0,151588.0,10.0,5,True
2021-11-18,56.0,156602.0,10.0,5,False
2021-11-19,48.0,157471.0,10.0,8,False
2021-11-22,48.0,136983.0,8.0,5,True
2021-11-23,55.0,149759.0,10.0,7,True
2021-11-24,64.0,142635.0,7.0,4,False
2021-11-25,65.0,153112.0,6.0,7,True
2021-11-26,56.0,160272.0,7.0,8,False
2021-11-29,73.0,142548.0,6.0,10,False
2021-11-30,70.0,152242.0,7.0,11,False
2021-12-01,78.0,155682.0,5.0,7,True
2021-12-09,61.0,142380.0,2.0,6,False
2021-12-15,97.0,161707.0,2.0,4,False
2021-12-27,62.0,81634.0,5.0,4,True
2021-12-28,68.0,82426.0,6.0,5,False
2021-12-29,59.0,83995.0,5.0,7,False
2021-12-30,43.0,79494.0,4.0,4,False
2021-12-31,54.0,64385.0,3.0,4,False
2022-01-03,71.0,68379.0,4.0,6,False
2022-01-04,58.0,70901.0,7.0,3,True
2022-01-05,52.0,77642.0,7.0,6,True
2022-01-10,62.0,108094.0,-2.0,5,False
